EMPLOYER_NORM,TICKER,EXCHANGE,LISTED_NAME,MATCH_TYPE,MATCH_SCORE,TOTAL_PETITIONS
COGNIZANT TECHNOLOGY SOLUTIONS US CORP,CTSH,NASDAQ,Cognizant Technology Solutions,manual,100.0,101857
AMAZON.COM SERVICES LLC,AMZN,NASDAQ,"Amazon.com, Inc.",manual,100.0,89110
GOOGLE LLC,GOOGL,NASDAQ,Alphabet Inc.,manual,100.0,68732
ERNST & YOUNG U.S. LLP,nan,nan,nan,not_traded,0.0,64193
TATA CONSULTANCY SERVICES LIMITED,nan,nan,nan,not_traded,0.0,63907
MICROSOFT CORPORATION,MSFT,NASDAQ,Microsoft Corporation,listing,100.0,61117
INFOSYS LIMITED,INFY,NYSE,Infosys Limited,search,100.0,46516
APPLE INC.,AAPL,NASDAQ,Apple Inc.,listing,100.0,33507
DELOITTE CONSULTING LLP,nan,nan,nan,not_traded,0.0,30860
ACCENTURE LLP,ACN,NYSE,Accenture plc,manual,100.0,26406
"WAL-MART ASSOCIATES, INC.",WMT,NASDAQ,Walmart Inc.,manual,100.0,23828
CAPGEMINI AMERICA INC,nan,nan,nan,not_traded,0.0,23432
"AMAZON WEB SERVICES, INC.",AMZN,NASDAQ,"Amazon.com, Inc.",manual,100.0,23058
INTEL CORPORATION,INTC,NASDAQ,Intel Corporation,listing,100.0,23027
JPMORGAN CHASE & CO.,JPM,NYSE,JP Morgan Chase & Co.,manual,100.0,22538
WIPRO LIMITED,WIT,NYSE,Wipro Limited,search,100.0,17547
IBM CORPORATION,IBM,NYSE,International Business Machines,manual,100.0,15706
"QUALCOMM TECHNOLOGIES, INC.",QCOM,NASDAQ,QUALCOMM Incorporated,manual,100.0,15388
"COMPUNNEL SOFTWARE GROUP, INC",nan,nan,nan,not_traded,0.0,14926
HCL AMERICA INC,nan,nan,nan,not_traded,0.0,14892
"META PLATFORMS, INC.",META,NASDAQ,"Meta Platforms, Inc.",manual,100.0,13650
"FACEBOOK, INC.",META,NASDAQ,"Meta Platforms, Inc.",manual,100.0,12124
"TESLA, INC.",TSLA,NASDAQ,"Tesla, Inc.",listing,100.0,10859
"AMAZON DEVELOPMENT CENTER U.S., INC.",AMZN,NASDAQ,"Amazon.com, Inc.",manual,100.0,10792
"CISCO SYSTEMS, INC.",CSCO,NASDAQ,"Cisco Systems, Inc.",listing,100.0,10615
"META PLATFORMS, INC",META,NASDAQ,"Meta Platforms, Inc.",manual,100.0,10560
MPHASIS CORPORATION,nan,nan,nan,not_traded,0.0,10560
"TECH MAHINDRA (AMERICAS), INC",nan,nan,nan,not_traded,0.0,10542
DELOITTE & TOUCHE LLP,nan,nan,nan,not_traded,0.0,10448
INTERNATIONAL BUSINESS MACHINES CORPORATION,IBM,NYSE,International Business Machines,manual,100.0,9780
"HCL AMERICA, INC.",nan,nan,nan,not_traded,0.0,9620
GOLDMAN SACHS & CO. LLC,GS,NYSE,"Goldman Sachs Group, Inc. (The)",manual,100.0,8659
LINKEDIN CORPORATION,MSFT,NASDAQ,Microsoft Corporation,manual,100.0,8392
LTIMINDTREE LIMITED,nan,nan,nan,not_traded,0.0,8136
"SALESFORCE, INC.",CRM,NYSE,"Salesforce, Inc.",manual,100.0,8136
"FIDELITY TECHNOLOGY GROUP, LLC",nan,nan,nan,not_traded,0.0,7725
"CITIBANK, N.A.",C,NYSE,"Citigroup, Inc.",manual,100.0,7624
NVIDIA CORPORATION,NVDA,NASDAQ,NVIDIA Corporation,listing,100.0,7345
"PAYPAL, INC.",PYPL,NASDAQ,"PayPal Holdings, Inc.",listing,100.0,7325
PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,nan,nan,nan,not_traded,0.0,6929
"ORACLE AMERICA, INC.",ORCL,NYSE,Oracle Corporation,manual,100.0,6887
ATOS SYNTEL INC,nan,nan,nan,not_traded,0.0,6768
"SALESFORCE.COM, INC.",CRM,NYSE,"Salesforce, Inc.",manual,100.0,6698
LARSEN & TOUBRO INFOTECH LIMITED,nan,nan,nan,not_traded,0.0,6437
ADOBE INC.,ADBE,NASDAQ,Adobe Inc.,listing,100.0,6057
KFORCE INC.,KFRC,NYSE,"Kforce, Inc.",search,100.0,6028
"UBER TECHNOLOGIES, INC.",UBER,NYSE,"Uber Technologies, Inc.",manual,100.0,5977
L&T TECHNOLOGY SERVICES LIMITED,nan,nan,nan,not_traded,0.0,5852
CUMMINS INC.,CMI,NYSE,Cummins Inc.,search,100.0,5801
EBAY INC.,EBAY,NASDAQ,eBay Inc.,listing,100.0,5739
VIRTUSA CORPORATION,nan,nan,nan,not_traded,0.0,5503
CGI TECHNOLOGIES AND SOLUTIONS INC.,GIB,NYSE,CGI Inc.,manual,100.0,5500
"RANDSTAD TECHNOLOGIES, LLC",nan,nan,nan,not_traded,0.0,5412
UST GLOBAL INC,nan,nan,nan,not_traded,0.0,5181
MINDTREE LIMITED,nan,nan,nan,not_traded,0.0,5067
FORD MOTOR COMPANY,F,NYSE,Ford Motor Company,search,100.0,5035
BANK OF AMERICA N.A.,BAC,NYSE,Bank of America Corporation,manual,100.0,5024
"CAPITAL ONE SERVICES, LLC",COF,NYSE,Capital One Financial Corporati,manual,100.0,4951
"SERVICENOW, INC.",NOW,NYSE,"ServiceNow, Inc.",search,100.0,4921
TEKORG INC.,nan,nan,nan,not_traded,0.0,4920
BYTEDANCE INC.,nan,nan,nan,not_traded,0.0,4919
INTUIT INC.,INTU,NASDAQ,Intuit Inc.,listing,100.0,4909
DELOITTE TAX LLP,nan,nan,nan,not_traded,0.0,4856
UNIVERSITY OF MICHIGAN,nan,nan,nan,not_traded,0.0,4642
"HEXAWARE TECHNOLOGIES, INC.",nan,nan,nan,not_traded,0.0,4564
"COMCAST CABLE COMMUNICATIONS, LLC",CMCSA,NASDAQ,Comcast Corporation,manual,100.0,4554
"MCKINSEY & COMPANY, INC. UNITED STATES",nan,nan,nan,not_traded,0.0,4493
"VMWARE, INC.",AVGO,NASDAQ,Broadcom Inc.,manual,100.0,4434
"RIVIAN AUTOMOTIVE, LLC",RIVN,NASDAQ,"Rivian Automotive, Inc.",manual,100.0,4401
GOLDMAN SACHS SERVICES LLC,GS,NYSE,"Goldman Sachs Group, Inc. (The)",manual,100.0,4399
"OPTUM SERVICES, INC.",UNH,NYSE,UnitedHealth Group Incorporated,manual,100.0,4396
U.S. BANK NATIONAL ASSOCIATION,USB,NYSE,U.S. Bancorp,manual,100.0,4285
